Source,Target
6,2
6,5
1,15
4,3
13,16
13,10
7,5
2,21
2,20
21,2
21,1
21,10
21,8
21,3
17,3
17,23
10,1
10,6
10,21
10,8
10,25
10,2
10,3
4,26
26,4
5,1
5,6
5,7
1,5
6,4
4,6
2,4
17,28
17,13
13,17
13,29
29,13
17,20
4,31
31,4
32,6
13,1
7,34
34,7
32,1
1,32
1,34
34,1
34,13
13,34
6,7
7,6
1,17
1,31
31,1
35,6
1,13
36,37
37,36
35,1
17,1
8,1
7,29
1,20
37,44
44,37
39,45
39,7
39,44
44,39
23,17
23,19
36,46
46,36
47,1
13,7
7,13
29,51
51,29
29,52
52,29
45,39
45,53
53,45
45,54
54,45
1,54
54,1
7,3
36,41
41,36
36,21
21,36
7,36
36,7
7,53
53,7
7,55
55,7
29,7
4,57
39,21
21,39
4,61
61,4
61,20
61,2
35,65
65,35
56,1
1,56
4,66
66,4
21,7
7,20
35,69
35,70
39,69
69,39
69,35
1,71
71,1
7,28
28,7
4,72
1,74
74,1
41,75
68,64
76,7
7,76
7,19
32,23
23,32
23,20
61,77
1,78
78,1
60,41
41,60
78,60
60,78
57,4
23,69
69,23
64,68
35,79
79,35
41,4
4,41
1,68
68,1
69,28
28,69
64,80
17,81
81,17
69,62
62,69
41,83
41,104
83,41
41,86
86,41
104,41
4,87
87,4
81,69
69,81
41,89
89,41
60,87
87,60
7,89
89,7
64,94
41,70
94,64
70,95
95,70
70,41
70,35
39,17
17,39
70,96
96,70
15,97
97,15
69,99
99,69
88,7
1,81
70,15
15,70
81,1
1,101
62,54
54,62
101,1
100,101
101,103
80,25
100,60
39,4
4,39
41,105
72,4
96,106
106,96
81,107
107,81
60,108
108,60
97,68
68,97
96,107
7,109
109,7
41,110
41,68
68,41
107,96
23,7
7,111
111,7
64,112
112,64
112,77
112,115
112,60
60,112
109,39
39,109
6,114
114,39
6,32
39,114
47,7
1,119
119,1
100,1
100,7
7,100
7,47
7,122
122,7
23,108
108,23
108,104
104,108
60,56
115,77
119,127
119,25
1,2
1,76
76,1
1,23
54,129
